Country Name,GDP per capita,GDP Total,group_label,group average,GDP Cumulative
Bangladesh,4950.743581408839,302571254131.135,9,125197.88,0.22686595045011948
Pakistan,4884.88138953447,278221906022.841,9,125197.88,0.2086089682483839
Ethiopia,2311.70438636716,96107662398.1749,9,125197.88,0.0720608976490921
Kenya,4509.32244225549,95503088538.092,9,125197.88,0.07160759211688328
Tanzania,2770.68117187672,63177068174.549,9,125197.88,0.047369753148655755
"Congo, Dem. Rep.",1143.4532245044,47319624204.0938,9,125197.88,0.03547994521433142
Cameroon,3804.07171078258,38760467033.389,9,125197.88,0.02906234506206339
Uganda,2271.64942402167,34387229486.4008,9,125197.88,0.02578332010812103
Nepal,3558.3998275006397,30641380604.2984,9,125197.88,0.022974707078039953
Cambodia,4570.6942887569,27089389786.9684,9,125197.88,0.020311447558963427
Papua New Guinea,4569.44617953884,24969611434.7684,9,125197.88,0.01872205159338695
Senegal,3535.5687791644605,23578084052.0147,9,125197.88,0.017678693448964666
Zambia,3623.69939478386,23064722446.3513,9,125197.88,0.01729377826947127
Zimbabwe,2953.48411281195,21440758800.0,9,125197.88,0.01607614093249459
Afghanistan,2293.55168387905,19101353832.7371,9,125197.88,0.014322070365183499
Sudan,4122.52668491946,18902284475.6054,9,125197.88,0.014172809461199528
Mali,2423.82876458679,17510141171.3403,9,125197.88,0.01312898950285018
Burkina Faso,2280.3800365328602,15745810234.6602,9,125197.88,0.011806105688233063
Mozambique,1333.5181668508199,14934159925.5234,9,125197.88,0.01119753558680615
Benin,3423.5517269216903,14390709094.9386,9,125197.88,0.010790059702959983
Madagascar,1714.44745387655,14083906356.618,9,125197.88,0.010560021013297692
Guinea,2670.30894674638,13590281808.6928,9,125197.88,0.010189904550806428
Niger,1269.6013993412,12928145120.0296,9,125197.88,0.009693438785633746
Chad,1645.09415290703,11314951342.7807,9,125197.88,0.008483876626178988
"Congo, Rep.",3434.75567523643,10820591130.7349,9,125197.88,0.008113208567534246
Rwanda,2318.4862303222303,10122472590.171999,9,125197.88,0.0075897638447814
Haiti,1800.56456129513,8498981820.87012,9,125197.88,0.006372481067928322
Tajikistan,3519.8220167011605,8116626794.25837,9,125197.88,0.006085793765888517
Malawi,1103.64361579209,7666704427.00915,9,125197.88,0.00574844491307739
Togo,1662.07234490352,5459979416.66908,9,125197.88,0.004093856911019947
Sierra Leone,1789.5884309979501,3941474310.7691298,9,125197.88,0.002955291698992086
Liberia,1486.99489806734,3070518100.0,9,125197.88,0.0023022544198097843
Burundi,782.816588798388,3012334881.6405697,9,125197.88,0.0022586290226408972
Lesotho,2882.42190050236,2460072443.62842,9,125197.88,0.0018445462530886191
Central African Republic,984.028049674848,2220307368.69593,9,125197.88,0.001664771965655059
"Gambia, The",2298.3781729053303,1763819047.69838,9,125197.88,0.0013225000036014378
Timor-Leste,3252.546371144,1673540300.0,9,125197.88,0.0012548095881293752
Solomon Islands,2465.52064273051,1425074225.77798,9,125197.88,0.0010685113482491312
Guinea-Bissau,2071.81624750216,1340389410.76003,9,125197.88,0.0010050152269704944
Comoros,3209.09129100149,1185728676.65112,9,125197.88,0.0008890516185249803
Vanuatu,3273.9149442523103,917058850.8165631,9,125197.88,0.0006876047376233066
Sao Tome and Principe,4128.062158576,429016605.208205,9,125197.88,0.00032167384895479993
Kiribati,2369.46552751514,194647201.946472,9,125197.88,0.0001459452009043271
Tuvalu,4465.23093078823,47271463.3298575,9,125197.88,3.54438345053366e-05
Ireland,88240.90102885538,388698711348.156,2,95369.22,0.41165792450177907
Singapore,101375.77531061199,372062527488.63794,2,95369.22,0.39403909346556015
Qatar,96490.9838735541,183466208791.20898,2,95369.22,0.19430298203266078
United States,65118.358332815995,21374418877706.7,5,63857.77,0.8546646277317781
Netherlands,59686.8316301847,909070395160.783,5,63857.77,0.036349540790202355
Switzerland,70989.2581261576,703082435360.1171,5,63857.77,0.028113030408912713
Austria,59110.5625590813,446314739528.47,5,63857.77,0.01784607211511856
United Arab Emirates,69900.87784769331,421142267937.65,5,63857.77,0.016839540841246326
Norway,66831.8688310396,403336363636.364,5,63857.77,0.01612756468609768
"Hong Kong SAR, China",62375.1193699712,366029556273.051,5,63857.77,0.01463583717717894
Denmark,59830.1542405139,348078018463.905,5,63857.77,0.013918037808379781
Iceland,60061.3705901909,24188035738.7846,5,63857.77,0.0009671682153573146
Brunei Darussalam,64673.2985705505,13469422941.3919,5,63857.77,0.0005385802257283032
Germany,56052.42206988559,3845630030823.52,0,51659.56,0.25961409678690056
United Kingdom,48709.701144586,2827113184695.58,0,51659.56,0.1908551862961992
France,49435.17993960901,2715518274227.45,0,51659.56,0.18332154118343869
Canada,51341.705166787695,1736425629519.96,0,51659.56,0.11722411356063632
Australia,53320.26904278481,1392680589329.14,0,51659.56,0.09401827799693648
Saudi Arabia,48908.482377333894,792966838161.659,0,51659.56,0.053532286730977756
Sweden,55814.5126535272,530832908737.86206,0,51659.56,0.03583592416383114
Belgium,54545.1508845001,529606710418.03796,0,51659.56,0.035753144913947196
Finland,51323.8333764442,268761201364.705,0,51659.56,0.018143762136348423
Kuwait,51912.012129175404,134761198945.982,0,51659.56,0.009097574822814898
Bahrain,46891.8598387148,38574069148.9362,0,51659.56,0.002604091407969372
Japan,43235.7175691122,5081769542379.77,6,41044.67,0.44180729135152463
Italy,44196.693103221296,2001244392041.57,6,41044.67,0.17398749723039675
"Korea, Rep.",43028.8963533414,1642383217167.26,6,41044.67,0.14278823045526517
Spain,42214.130393474305,1394116310768.63,6,41044.67,0.12120399123830224
Israel,42193.8255898777,395098666121.616,6,41044.67,0.034349741766142174
Czech Republic,42575.6114778391,246489245494.882,6,41044.67,0.021429689991092567
Portugal,36470.7067689104,237686075634.698,6,41044.67,0.020664345439593303
New Zealand,43952.54842839,206928765543.935,6,41044.67,0.0179903155082605
